"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","QGDP","VOLIDX","IDX","Q","1999-Q2",81.2,
"DEU","QGDP","VOLIDX","IDX","Q","1999-Q3",82.2,
"DEU","QGDP","VOLIDX","IDX","Q","1999-Q4",82.8,
"DEU","QGDP","VOLIDX","IDX","Q","2000-Q1",84,
"DEU","QGDP","VOLIDX","IDX","Q","2000-Q2",84.7,
"DEU","QGDP","VOLIDX","IDX","Q","2000-Q3",84.7,
"DEU","QGDP","VOLIDX","IDX","Q","2000-Q4",84.4,
"DEU","QGDP","VOLIDX","IDX","Q","2001-Q1",86.1,
"DEU","QGDP","VOLIDX","IDX","Q","2001-Q2",86.1,
"DEU","QGDP","VOLIDX","IDX","Q","2001-Q3",85.9,
"DEU","QGDP","VOLIDX","IDX","Q","2001-Q4",85.8,
"DEU","QGDP","VOLIDX","IDX","Q","2002-Q1",85.4,
"DEU","QGDP","VOLIDX","IDX","Q","2002-Q2",85.7,
"DEU","QGDP","VOLIDX","IDX","Q","2002-Q3",86.2,
"DEU","QGDP","VOLIDX","IDX","Q","2002-Q4",86.1,
"DEU","QGDP","VOLIDX","IDX","Q","2003-Q1",84.8,
"DEU","QGDP","VOLIDX","IDX","Q","2003-Q2",84.9,
"DEU","QGDP","VOLIDX","IDX","Q","2003-Q3",85.5,
"DEU","QGDP","VOLIDX","IDX","Q","2003-Q4",85.7,
"DEU","QGDP","VOLIDX","IDX","Q","2004-Q1",85.6,
"DEU","QGDP","VOLIDX","IDX","Q","2004-Q2",86,
"DEU","QGDP","VOLIDX","IDX","Q","2004-Q3",85.9,
"DEU","QGDP","VOLIDX","IDX","Q","2004-Q4",85.8,
"DEU","QGDP","VOLIDX","IDX","Q","2005-Q1",85.8,
"DEU","QGDP","VOLIDX","IDX","Q","2005-Q2",86.2,
"DEU","QGDP","VOLIDX","IDX","Q","2005-Q3",87,
"DEU","QGDP","VOLIDX","IDX","Q","2005-Q4",87.4,
"DEU","QGDP","VOLIDX","IDX","Q","2006-Q1",88.2,
"DEU","QGDP","VOLIDX","IDX","Q","2006-Q2",89.7,
"DEU","QGDP","VOLIDX","IDX","Q","2006-Q3",90.4,
"DEU","QGDP","VOLIDX","IDX","Q","2006-Q4",91.8,
"DEU","QGDP","VOLIDX","IDX","Q","2007-Q1",91.9,
"DEU","QGDP","VOLIDX","IDX","Q","2007-Q2",92.6,
"DEU","QGDP","VOLIDX","IDX","Q","2007-Q3",93.1,
"DEU","QGDP","VOLIDX","IDX","Q","2007-Q4",93.7,
"DEU","QGDP","VOLIDX","IDX","Q","2008-Q1",94.3,
"DEU","QGDP","VOLIDX","IDX","Q","2008-Q2",94.1,
"DEU","QGDP","VOLIDX","IDX","Q","2008-Q3",93.5,
"DEU","QGDP","VOLIDX","IDX","Q","2008-Q4",92,
"DEU","QGDP","VOLIDX","IDX","Q","2009-Q1",87.7,
"DEU","QGDP","VOLIDX","IDX","Q","2009-Q2",87.8,
"DEU","QGDP","VOLIDX","IDX","Q","2009-Q3",88.3,
"DEU","QGDP","VOLIDX","IDX","Q","2009-Q4",89,
"DEU","QGDP","VOLIDX","IDX","Q","2010-Q1",89.7,
"DEU","QGDP","VOLIDX","IDX","Q","2010-Q2",91.7,
"DEU","QGDP","VOLIDX","IDX","Q","2010-Q3",92.5,
"DEU","QGDP","VOLIDX","IDX","Q","2010-Q4",93.2,
"DEU","QGDP","VOLIDX","IDX","Q","2011-Q1",95,
"DEU","QGDP","VOLIDX","IDX","Q","2011-Q2",95.1,
"DEU","QGDP","VOLIDX","IDX","Q","2011-Q3",95.9,
"DEU","QGDP","VOLIDX","IDX","Q","2011-Q4",95.6,
"DEU","QGDP","VOLIDX","IDX","Q","2012-Q1",95.9,
"DEU","QGDP","VOLIDX","IDX","Q","2012-Q2",96,
"DEU","QGDP","VOLIDX","IDX","Q","2012-Q3",96.3,
"DEU","QGDP","VOLIDX","IDX","Q","2012-Q4",95.9,
"DEU","QGDP","VOLIDX","IDX","Q","2013-Q1",95.4,
"DEU","QGDP","VOLIDX","IDX","Q","2013-Q2",96.5,
"DEU","QGDP","VOLIDX","IDX","Q","2013-Q3",97,
"DEU","QGDP","VOLIDX","IDX","Q","2013-Q4",97.3,
"DEU","QGDP","VOLIDX","IDX","Q","2014-Q1",98.2,
"DEU","QGDP","VOLIDX","IDX","Q","2014-Q2",98.2,
"DEU","QGDP","VOLIDX","IDX","Q","2014-Q3",98.7,
"DEU","QGDP","VOLIDX","IDX","Q","2014-Q4",99.5,
"DEU","QGDP","VOLIDX","IDX","Q","2015-Q1",99,
"DEU","QGDP","VOLIDX","IDX","Q","2015-Q2",99.7,
"DEU","QGDP","VOLIDX","IDX","Q","2015-Q3",100.2,
"DEU","QGDP","VOLIDX","IDX","Q","2015-Q4",100.6,
"DEU","QGDP","VOLIDX","IDX","Q","2016-Q1",101.5,
"DEU","QGDP","VOLIDX","IDX","Q","2016-Q2",101.9,
"DEU","QGDP","VOLIDX","IDX","Q","2016-Q3",102.2,
"DEU","QGDP","VOLIDX","IDX","Q","2016-Q4",102.6,
"DEU","QGDP","VOLIDX","IDX","Q","2017-Q1",103.8,
"DEU","QGDP","VOLIDX","IDX","Q","2017-Q2",104.6,
"DEU","QGDP","VOLIDX","IDX","Q","2017-Q3",105.5,
"DEU","QGDP","VOLIDX","IDX","Q","2017-Q4",106.4,
"DEU","QGDP","VOLIDX","IDX","Q","2018-Q1",105.9,"P"
"DEU","QGDP","VOLIDX","IDX","Q","2018-Q2",106.5,"P"
"DEU","QGDP","VOLIDX","IDX","Q","2018-Q3",106.1,"P"
"DEU","QGDP","VOLIDX","IDX","Q","2018-Q4",106.5,"P"
"DEU","QGDP","VOLIDX","IDX","Q","2019-Q1",107.6,"P"
"DEU","QGDP","VOLIDX","IDX","Q","2019-Q2",107.1,"P"
"DEU","QGDP","VOLIDX","IDX","Q","2019-Q3",107.5,"P"
"DEU","QGDP","VOLIDX","IDX","Q","2019-Q4",107.4,"P"
"DEU","QGDP","VOLIDX","IDX","Q","2020-Q1",105.5,"P"
"DEU","QGDP","VOLIDX","IDX","Q","2020-Q2",95,"P"
"DEU","QGDP","VOLIDX","IDX","Q","2020-Q3",103.6,"P"
"DEU","QGDP","VOLIDX","IDX","Q","2020-Q4",104.3,"P"
"DEU","QGDP","VOLIDX","IDX","Q","2021-Q1",102.4,"P"
"DEU","QGDP","VOLIDX","IDX","Q","2021-Q2",104.5,"P"
"DEU","QGDP","VOLIDX","IDX","Q","2021-Q3",106.2,"P"
"USA","QGDP","VOLIDX","IDX","Q","1999-Q2",72,
"USA","QGDP","VOLIDX","IDX","Q","1999-Q3",72.9,
"USA","QGDP","VOLIDX","IDX","Q","1999-Q4",74.1,
"USA","QGDP","VOLIDX","IDX","Q","2000-Q1",74.4,
"USA","QGDP","VOLIDX","IDX","Q","2000-Q2",75.7,
"USA","QGDP","VOLIDX","IDX","Q","2000-Q3",75.8,
"USA","QGDP","VOLIDX","IDX","Q","2000-Q4",76.3,
"USA","QGDP","VOLIDX","IDX","Q","2001-Q1",76,
"USA","QGDP","VOLIDX","IDX","Q","2001-Q2",76.5,
"USA","QGDP","VOLIDX","IDX","Q","2001-Q3",76.2,
"USA","QGDP","VOLIDX","IDX","Q","2001-Q4",76.4,
"USA","QGDP","VOLIDX","IDX","Q","2002-Q1",77,
"USA","QGDP","VOLIDX","IDX","Q","2002-Q2",77.5,
"USA","QGDP","VOLIDX","IDX","Q","2002-Q3",77.8,
"USA","QGDP","VOLIDX","IDX","Q","2002-Q4",77.9,
"USA","QGDP","VOLIDX","IDX","Q","2003-Q1",78.3,
"USA","QGDP","VOLIDX","IDX","Q","2003-Q2",79,
"USA","QGDP","VOLIDX","IDX","Q","2003-Q3",80.3,
"USA","QGDP","VOLIDX","IDX","Q","2003-Q4",81.3,
"USA","QGDP","VOLIDX","IDX","Q","2004-Q1",81.7,
"USA","QGDP","VOLIDX","IDX","Q","2004-Q2",82.4,
"USA","QGDP","VOLIDX","IDX","Q","2004-Q3",83.1,
"USA","QGDP","VOLIDX","IDX","Q","2004-Q4",84,
"USA","QGDP","VOLIDX","IDX","Q","2005-Q1",84.9,
"USA","QGDP","VOLIDX","IDX","Q","2005-Q2",85.3,
"USA","QGDP","VOLIDX","IDX","Q","2005-Q3",86,
"USA","QGDP","VOLIDX","IDX","Q","2005-Q4",86.5,
"USA","QGDP","VOLIDX","IDX","Q","2006-Q1",87.7,
"USA","QGDP","VOLIDX","IDX","Q","2006-Q2",87.9,
"USA","QGDP","VOLIDX","IDX","Q","2006-Q3",88,
"USA","QGDP","VOLIDX","IDX","Q","2006-Q4",88.7,
"USA","QGDP","VOLIDX","IDX","Q","2007-Q1",89,
"USA","QGDP","VOLIDX","IDX","Q","2007-Q2",89.6,
"USA","QGDP","VOLIDX","IDX","Q","2007-Q3",90.1,
"USA","QGDP","VOLIDX","IDX","Q","2007-Q4",90.7,
"USA","QGDP","VOLIDX","IDX","Q","2008-Q1",90.3,
"USA","QGDP","VOLIDX","IDX","Q","2008-Q2",90.8,
"USA","QGDP","VOLIDX","IDX","Q","2008-Q3",90.3,
"USA","QGDP","VOLIDX","IDX","Q","2008-Q4",88.4,
"USA","QGDP","VOLIDX","IDX","Q","2009-Q1",87.3,
"USA","QGDP","VOLIDX","IDX","Q","2009-Q2",87.2,
"USA","QGDP","VOLIDX","IDX","Q","2009-Q3",87.5,
"USA","QGDP","VOLIDX","IDX","Q","2009-Q4",88.4,
"USA","QGDP","VOLIDX","IDX","Q","2010-Q1",88.9,
"USA","QGDP","VOLIDX","IDX","Q","2010-Q2",89.7,
"USA","QGDP","VOLIDX","IDX","Q","2010-Q3",90.4,
"USA","QGDP","VOLIDX","IDX","Q","2010-Q4",90.9,
"USA","QGDP","VOLIDX","IDX","Q","2011-Q1",90.7,
"USA","QGDP","VOLIDX","IDX","Q","2011-Q2",91.3,
"USA","QGDP","VOLIDX","IDX","Q","2011-Q3",91.3,
"USA","QGDP","VOLIDX","IDX","Q","2011-Q4",92.3,
"USA","QGDP","VOLIDX","IDX","Q","2012-Q1",93,
"USA","QGDP","VOLIDX","IDX","Q","2012-Q2",93.5,
"USA","QGDP","VOLIDX","IDX","Q","2012-Q3",93.6,
"USA","QGDP","VOLIDX","IDX","Q","2012-Q4",93.7,
"USA","QGDP","VOLIDX","IDX","Q","2013-Q1",94.5,
"USA","QGDP","VOLIDX","IDX","Q","2013-Q2",94.7,
"USA","QGDP","VOLIDX","IDX","Q","2013-Q3",95.4,
"USA","QGDP","VOLIDX","IDX","Q","2013-Q4",96.1,
"USA","QGDP","VOLIDX","IDX","Q","2014-Q1",95.8,
"USA","QGDP","VOLIDX","IDX","Q","2014-Q2",97,
"USA","QGDP","VOLIDX","IDX","Q","2014-Q3",98.1,
"USA","QGDP","VOLIDX","IDX","Q","2014-Q4",98.6,
"USA","QGDP","VOLIDX","IDX","Q","2015-Q1",99.4,
"USA","QGDP","VOLIDX","IDX","Q","2015-Q2",99.9,
"USA","QGDP","VOLIDX","IDX","Q","2015-Q3",100.3,
"USA","QGDP","VOLIDX","IDX","Q","2015-Q4",100.4,
"USA","QGDP","VOLIDX","IDX","Q","2016-Q1",101,
"USA","QGDP","VOLIDX","IDX","Q","2016-Q2",101.3,
"USA","QGDP","VOLIDX","IDX","Q","2016-Q3",101.9,
"USA","QGDP","VOLIDX","IDX","Q","2016-Q4",102.4,
"USA","QGDP","VOLIDX","IDX","Q","2017-Q1",102.9,
"USA","QGDP","VOLIDX","IDX","Q","2017-Q2",103.5,
"USA","QGDP","VOLIDX","IDX","Q","2017-Q3",104.2,
"USA","QGDP","VOLIDX","IDX","Q","2017-Q4",105.2,
"USA","QGDP","VOLIDX","IDX","Q","2018-Q1",106,
"USA","QGDP","VOLIDX","IDX","Q","2018-Q2",106.9,
"USA","QGDP","VOLIDX","IDX","Q","2018-Q3",107.4,
"USA","QGDP","VOLIDX","IDX","Q","2018-Q4",107.7,
"USA","QGDP","VOLIDX","IDX","Q","2019-Q1",108.3,
"USA","QGDP","VOLIDX","IDX","Q","2019-Q2",109.2,
"USA","QGDP","VOLIDX","IDX","Q","2019-Q3",109.9,
"USA","QGDP","VOLIDX","IDX","Q","2019-Q4",110.4,
"USA","QGDP","VOLIDX","IDX","Q","2020-Q1",109,
"USA","QGDP","VOLIDX","IDX","Q","2020-Q2",99.2,
"USA","QGDP","VOLIDX","IDX","Q","2020-Q3",106.7,
"USA","QGDP","VOLIDX","IDX","Q","2020-Q4",107.9,
"USA","QGDP","VOLIDX","IDX","Q","2021-Q1",109.6,
"USA","QGDP","VOLIDX","IDX","Q","2021-Q2",111.4,
"USA","QGDP","VOLIDX","IDX","Q","2021-Q3",112,
